date,PM2.5
2025-11-05,107
2025-11-06,186
2025-11-07,215
2025-11-08,251
2025-11-09,213
2025-11-10,279
2025-11-11,297
2025-11-12,326
2025-11-13,287
2025-11-14,228
2025-11-16,170
2025-11-17,156
2025-11-18,208
2025-11-19,239
2025-11-20,220
2025-11-21,163
2025-11-22,180
2025-11-23,223
2025-11-24,221
2025-11-25,192
2025-11-26,164
2025-11-27,221
2025-11-28,221
2025-11-29,146
2025-11-30,155
2025-12-01,152
2025-12-02,236
2025-12-03,174
2025-12-04,173
2025-12-05,178
2025-12-06,169
2025-12-07,161
2025-12-08,152
2025-12-09,130
2025-12-10,129
2025-12-11,143
2025-12-12,191
2025-12-13,357
2025-12-14,384
2025-12-15,270
2025-12-16,184
2025-12-17,184
2025-12-18,301
2025-12-19,232
2025-12-20,275
2025-12-21,239
2025-12-22,290
2025-12-23,283
2025-12-24,108
2025-12-25,104
2025-12-26,173
2025-12-27,264
2025-12-28,247
2025-12-29,285
2025-12-30,247
2025-12-31,275
