Site Location, Population estimate * ,Country,ISO 3 code,Country Region,continent,Latitude,Longitude,Site typology,PM10 µgm-3 *,PM2.5 µgm-3 *,Methodology,Reference author,Reference year,Study year,Season,SEA SALT%,DUST%,TRAFFIC%,INDUSTRY%,BIOM. BURN./RES.%,OTHER (unspecified-human origin)%
Mount Cimone, < 50 ,Italy,ITA,Southwestern Europe,EU,44.19,10.70,remote,16,,APCS,Marenco167,2006,2004,summer,0.5,25.0,,,,74.5
Venice," 2,70,600 ",Italy,ITA,Southwestern Europe,EU,45.43,12.34,urban-harb,19,,FA,Masiol168,2010,2007,summer,12.0,34.0,17.0,14.0,,23.0
Milan," 13,16,000 ",Italy,ITA,Southwestern Europe,EU,45.47,9.19,urban traffic,39,,CMB,Mossetti169,2005,-,-,,15.0,56.0,3.0,,26.0
Genoa," 6,08,826 ",Italy,ITA,Southwestern Europe,EU,44.41,8.93,urban,,20,PMF,Mazzei170,2008,2005,summer,8.5,13.0,19.5,25.8,,33.2
Genoa," 6,08,826 ",Italy,ITA,Southwestern Europe,EU,44.41,8.93,urban,37,,PMF,Mazzei170,2008,2002/5,year,11.9,16.8,23.2,22.4,,25.7
Catania," 2,94,525 ",Italy,ITA,Southwestern Europe,EU,37.50,15.09,urban,35,,MC,Rinaldi181,2007,2005,spring,15.0,35.0,30.0,,,20.0
Venice," 2,70,600 ",Italy,ITA,Southwestern Europe,EU,45.43,12.34,urban-harb,,17,PCA,Stortini187,2009,2007,year,,8.9,31.0,44.0,,16.1
Capannori," 45,000 ",Italy,ITA,Southwestern Europe,EU,43.84,10.57,urban,20,,PMF,Lucarelli212,2011,2005/2006,year,5.0,18.0,25.0,,23.0,29.0
Milano," 13,16,000 ",Italy,ITA,Southwestern Europe,EU,45.52,9.21,urban,31,,CMB,Perrone214,2011,2007/2008,summer,1.6,0.6,32.5,,1.2,64.1
Milano," 13,16,000 ",Italy,ITA,Southwestern Europe,EU,45.52,9.21,urban,73,,CMB,Perrone214,2011,2007/2008,winter,0.7,1.1,23.6,,18.9,55.7
Milano," 13,16,000 ",Italy,ITA,Southwestern Europe,EU,45.52,9.21,urban,,30,CMB,Perrone214,2011,2007/2008,spring,0.7,0.6,19.0,,4.0,75.7
Milano," 13,16,000 ",Italy,ITA,Southwestern Europe,EU,45.52,9.21,urban,,17,CMB,Perrone214,2011,2007/2008,summer,1.2,0.6,27.6,,1.2,69.5
Milano," 13,16,000 ",Italy,ITA,Southwestern Europe,EU,45.52,9.21,urban,,38,CMB,Perrone214,2011,2007,fall,0.3,3.7,23.6,,29.4,43.1
Milano," 13,16,000 ",Italy,ITA,Southwestern Europe,EU,45.52,9.21,urban,,57,CMB,Perrone214,2011,2007/2008,winter,0.2,1.6,23.3,,26.0,49.0
Milano," 13,16,000 ",Italy,ITA,Southwestern Europe,EU,45.52,9.21,urban,,17,CMB,Perrone214,2011,2007/2008,spring,1.2,0.6,6.5,,15.9,75.9
Milano," 13,16,000 ",Italy,ITA,Southwestern Europe,EU,45.14,10.44,rural,,13,CMB,Perrone214,2011,2007/2008,summer,0.8,0.8,11.5,,3.1,83.9
Milano," 13,16,000 ",Italy,ITA,Southwestern Europe,EU,45.14,10.44,rural,,26,CMB,Perrone214,2011,2007/2008,fall,,1.2,7.3,,30.8,60.8
Milano," 13,16,000 ",Italy,ITA,Southwestern Europe,EU,45.14,10.44,rural,,32,CMB,Perrone214,2011,2007/2008,winter,,,7.2,,28.7,64.1
Bobadela, 487 ,Portugal,PRT,Southwestern Europe,EU,38.81,-9.10,suburb-ind,,15,APCS,"Almeida126,127",2005,2001,year,8.0,16.0,22.0,22.0,,32.0
Bobadela, 487 ,Portugal,PRT,Southwestern Europe,EU,38.81,-9.10,suburb-ind,16,,APCS,"Almeida126,127",2005,2001,year,47.0,20.0,,18.0,,15.0
Lisbon," 4,74,697 ",Portugal,PRT,Southwestern Europe,EU,38.71,-9.14,suburban,32,,APCS,"Almeida126,127",2006,????,year,29.9,18.0,,19.7,,32.4
Coimbra," 1,01,000 ",Portugal,PRT,Southwestern Europe,EU,40.21,-8.43,urban,,18,PCFA,Harrison218,1997,1992/1993,year,15.0,37.0,24.0,,,24.0
Lisbon," 4,74,697 ",Potugal,PRT,Southwestern Europe,EU,38.71,-9.14,suburban,,14,APCS,"Almeida126,127",2006,????,year,8.0,16.0,22.0,22.0,,32.0
Barcelona," 16,20,000 ",Spain,ESP,Southwestern Europe,EU,41.39,2.17,urban,,28,PMF-ME,Amato128–131,2009,2003/7,year,3.0,13.0,40.0,9.0,,35.0
Barcelona," 16,20,000 ",Spain,ESP,Southwestern Europe,EU,41.39,2.17,urban,40,,PMF-ME,Amato128–131,2009,2003/7,year,10.0,28.0,46.0,7.0,,9.0
El Prat Airport Barcelona," 16,20,000 ",Spain,ESP,Southwestern Europe,EU,41.30,2.08,mobile-airp,49,,APCS,Amato128–131,2010,2007,fall,3.0,33.0,31.0,,10.0,23.0
Poblado Lepanto," 5,67,433 ",Spain,ESP,Southwestern Europe,EU,37.89,-4.77,urban,,18,PMF,Amato128–131,2014,2009/2010,year,12.0,8.0,33.0,19.0,,28.0
Campillo," 2,318 ",Spain,ESP,Southwestern Europe,EU,37.05,-4.86,rural,,19,PMF,Amato128–131,2014,2009,year,24.0,12.0,27.0,20.0,,17.0
La Linea," 64,645 ",Spain,ESP,Southwestern Europe,EU,36.16,-5.35,urban-industrial,,20,PMF,Amato128–131,2014,2003/2010,year,9.0,5.0,25.0,14.0,,47.0
Los Barrios," 23,141 ",Spain,ESP,Southwestern Europe,EU,36.18,-5.48,urban-industrial,,22,PMF,Amato128–131,2014,2003/2010,year,12.0,7.0,26.0,9.0,,46.0
Carranque," 4,473 ",Spain,ESP,Southwestern Europe,EU,36.72,-4.43,traffic,,23,PMF,Amato128–131,2014,2009/2010,year,10.0,12.0,33.0,12.0,,33.0
Algeciras," 1,16,917 ",Spain,ESP,Southwestern Europe,EU,36.13,-5.45,urban-industrial,,25,PMF,Amato128–131,2014,2003/2004,year,6.0,4.0,26.0,11.0,,53.0
Principes," 2,257 ",Spain,ESP,Southwestern Europe,EU,37.38,-6.26,traffic,,31,PMF,Amato128–131,2014,2009,year,31.0,12.0,,35.0,,22.0
Alcala de Guadair," 73,765 ",Spain,ESP,Southwestern Europe,EU,37.34,-5.83,urban,,31,PMF,Amato128–131,2014,2009,year,5.0,9.0,41.0,,,45.0
Granada," 2,39,017 ",Spain,ESP,Southwestern Europe,EU,37.20,-3.61,traffic,,37,PMF,Amato128–131,2014,2009/2010,year,,6.0,85.0,,,9.0
Campillo," 2,318 ",Spain,ESP,Southwestern Europe,EU,37.05,-4.86,rural,15,,PMF,Amato128–131,2014,2010,year,8.0,17.0,32.0,19.0,,24.0
Los Barrios," 23,141 ",Spain,ESP,Southwestern Europe,EU,36.18,-5.48,urban-industrial,30,,PMF,Amato128–131,2014,2003/2010,year,11.0,22.0,28.0,6.0,,33.0
Poblado Lepanto," 5,67,433 ",Spain,ESP,Southwestern Europe,EU,37.89,-4.77,urban,36,,PMF,Amato128–131,2014,2007/2010,year,13.0,17.0,45.0,11.0,,14.0
La Linea," 64,645 ",Spain,ESP,Southwestern Europe,EU,36.16,-5.35,urban-industrial,37,,PMF,Amato128–131,2014,2003/2010,year,17.0,19.0,30.0,8.0,,26.0
Algeciras," 1,16,917 ",Spain,ESP,Southwestern Europe,EU,36.13,-5.45,urban-industrial,38,,PMF,Amato128–131,2014,2003/2004,year,12.0,14.0,33.0,5.0,,36.0
Puente Mayorga," 2,245 ",Spain,ESP,Southwestern Europe,EU,36.18,-5.39,urban-industrial,39,,PMF,Amato128–131,2014,2004/2010,year,12.0,22.0,32.0,7.0,,27.0
Principes," 2,257 ",Spain,ESP,Southwestern Europe,EU,37.38,-6.26,traffic,41,,PMF,Amato128–131,2014,2007/2010,year,35.0,16.0,,32.0,,17.0
Alcala de Guadaira," 73,765 ",Spain,ESP,Southwestern Europe,EU,37.34,-5.83,urban,41,,PMF,Amato128–131,2014,2007/2010,year,10.0,15.0,46.0,,,29.0
Carranque," 4,473 ",Spain,ESP,Southwestern Europe,EU,36.72,-4.43,traffic,43,,PMF,Amato128–131,2014,2007/2010,year,16.0,25.0,40.0,7.0,,12.0
Granada Norte," 2,39,017 ",Spain,ESP,Southwestern Europe,EU,37.20,-3.61,traffic,44,,PMF,Amato128–131,2014,2007/2010,year,,11.0,77.0,,,12.0
Santander," 1,79,921 ",Spain,ESP,Southwestern Europe,EU,43.47,-3.81,urban,,13,PCA,Arruti135,2011,2008/9,year,,,24.0,40.0,,36.0
Zaragoza," 6,79,624 ",Spain,ESP,Southwestern Europe,EU,41.66,0.88,urban,32,,APCS,Callen140,2009,2003/4,year,4.0,56.0,8.0,15.0,5.0,12.0
Zaragoza," 6,79,624 ",Spain,ESP,Southwestern Europe,EU,41.66,0.88,urban,32,,PMF,Callen140,2009,2003/4,year,7.0,40.0,7.0,26.0,6.0,14.0
Zaragoza," 6,79,624 ",Spain,ESP,Southwestern Europe,EU,41.66,0.88,urban,32,,UNMIX,Callen140,2009,2003/4,year,10.0,65.0,15.0,9.0,,1.0
Madrid," 3,234 ",Spain,ESP,Southwestern Europe,EU,40.42,-3.70,urban,50,,PMF,Karanasiou158–160,2011,2009,summer,,19.0,60.0,,,21.0
Puertollano," 51,997 ",Spain,ESP,Southwestern Europe,EU,38.69,-4.11,urban-industrial,43,,PCA,"Moreno171,172",2006,2004/5,year,6.0,36.0,,48.0,,10.0
Santander," 1,78,475 ",Spain,ESP,Southwestern Europe,EU,43.47,-3.81,urban,,18,PMF,"Moreno171,172",2011,2007/8,year,13.0,1.0,37.0,7.0,,42.0
Santander," 1,78,475 ",Spain,ESP,Southwestern Europe,EU,43.47,-3.81,urban,34,,PMF,"Moreno171,172",2011,2007/8,year,20.0,3.0,29.0,4.0,,44.0
Torrelavega," 55,297 ",Spain,ESP,Southwestern Europe,EU,43.35,-3.06,urban,34,,PMF,"Moreno171,172",2011,2007/8,year,12.0,14.0,35.0,3.0,,36.0
Santa Ana, 282 ,Spain,ESP,Southwestern Europe,EU,37.66,-1.37,suburban,,22,APCS,Negral173,2008,2004/5,year,2.0,8.0,40.0,,,50.0
Bastarreche Square Puerto," 32,983 ",Spain,ESP,Southwestern Europe,EU,37.82,-0.98,urban,47,,APCS,Negral173,2008,2004/5,year,3.0,25.0,20.0,6.0,,46.0
Elche," 2,30,587 ",Spain,ESP,Southwestern Europe,EU,38.27,-0.71,urban,33,,PMF,Nicolas174,2008,2004/5,year,11.0,28.7,13.0,,,47.3
Alcora Castello," 10,821 ",Spain,ESP,Southwestern Europe,EU,39.99,-0.04,urban-industrial,34,,CMB,"Pandolfi175,176",2008,2002/5,year,,16.0,10.0,16.0,,58.0
Alcora Castello," 10,821 ",Spain,ESP,Southwestern Europe,EU,39.99,-0.04,urban-industrial,34,,PMF,"Pandolfi175,176",2008,2002/5,year,2.3,36.7,13.0,8.2,,39.8
Los Barrios," 23,141 ",Spain,ESP,Southwestern Europe,EU,36.19,-5.49,urban,,22,PMF,"Pandolfi175,176",2010,2003/7,year,4.6,14.9,24.5,14.3,,41.7
La Linea," 64,645 ",Spain,ESP,Southwestern Europe,EU,36.16,-5.35,urban,,23,PMF,"Pandolfi175,176",2010,2003/7,year,3.9,8.8,27.8,16.8,,42.7
Algeciras," 1,16,917 ",Spain,ESP,Southwestern Europe,EU,36.13,-5.45,urban,,24,PMF,"Pandolfi175,176",2010,2003/7,year,4.1,8.5,35.9,11.2,,40.3
Los Barrios," 23,141 ",Spain,ESP,Southwestern Europe,EU,36.19,-5.49,urban,32,,PMF,"Pandolfi175,176",2010,2003/7,year,8.0,22.8,19.6,11.0,,38.6
Algeciras," 1,16,917 ",Spain,ESP,Southwestern Europe,EU,36.13,-5.45,urban,37,,PMF,"Pandolfi175,176",2010,2003/7,year,9.2,19.6,24.9,8.1,,38.2
Puente," 2,245 ",Spain,ESP,Southwestern Europe,EU,36.18,-5.39,industrial,41,,PMF,"Pandolfi175,176",2010,2003/7,year,8.5,23.5,17.2,12.8,,38.0
La Linea," 64,645 ",Spain,ESP,Southwestern Europe,EU,36.16,-5.35,urban,41,,PMF,"Pandolfi175,176",2010,2003/7,year,10.3,22.9,20.0,11.0,,35.8
Montseny, 286 ,Spain,ESP,Southwestern Europe,EU,41.76,-2.39,remote,,14,PMF,Pey177,2009,2002/7,year,,13.0,,27.0,,60.0
Montseny, 286 ,Spain,ESP,Southwestern Europe,EU,41.76,-2.39,remote,16,,PMF,Pey177,2009,2002/7,year,,29.0,,18.0,,53.0
Barcelona," 16,20,000 ",Spain,ESP,Southwestern Europe,EU,41.39,2.17,urban,50,,PCA,Querol178–180,2001,1999/2000,year,11.0,36.0,22.0,,,31.0
Barcelona," 16,20,000 ",Spain,ESP,Southwestern Europe,EU,41.39,2.17,urban,,35,PCA,Querol178–180,2002,1999/2001,year,,26.0,26.0,7.0,,41.0
Huelva," 1,48,568 ",Spain,ESP,Southwestern Europe,EU,37.26,-6.95,urban,37,,FA,Querol178–180,2002,1999-2000,year,15.0,47.0,,16.0,,22.0
Bemantes," 2,28,900 ",Spain,ESP,Southwestern Europe,EU,43.34,-8.17,rural,19,,FA,Querol178–180,2004,2001,year,13.0,,27.0,15.0,,45.0
Llodio," 18,397 ",Spain,ESP,Southwestern Europe,EU,43.15,-2.96,urban,32,,FA,Querol178–180,2004,2001,year,7.0,26.0,22.0,,,45.0
Alcobendas," 1,11,040 ",Spain,ESP,Southwestern Europe,EU,40.55,-3.63,urban,32,,FA,Querol178–180,2004,2001,year,6.0,31.0,34.0,,,29.0
Tarragona," 1,55,536 ",Spain,ESP,Southwestern Europe,EU,41.12,1.25,urban,37,,FA,Querol178–180,2004,2001,year,9.0,32.0,30.0,,,29.0
Huelva," 1,48,568 ",Spain,ESP,Southwestern Europe,EU,37.26,-6.95,urban,38,,FA,Querol178–180,2004,2001,year,5.0,27.0,33.0,22.0,,13.0
Canary Islands," 21,18,000 ",Spain,ESP,Southwestern Europe,EU,28.13,-16.54,urban,44,,FA,Querol178–180,2004,2001,year,35.0,33.0,5.0,,,27.0
Madrid," 3,234 ",Spain,ESP,Southwestern Europe,EU,40.42,-3.70,urban,48,,APCFA,"Salvador182,183",2004,1999/2000,year,3.0,26.0,48.0,,,23.0
Bemantes," 2,28,900 ",Spain,ESP,Southwestern Europe,EU,43.34,-8.17,rural,,13,FA,"Salvador182,183",2007,2001,year,2.0,15.0,35.0,10.0,,38.0
Bemantes," 2,28,900 ",Spain,ESP,Southwestern Europe,EU,43.34,-8.17,rural,19,,FA,"Salvador182,183",2007,2001,year,14.0,36.0,25.0,17.0,,8.0
Bailen," 17,593 ",Spain,ESP,Southwestern Europe,EU,38.10,-3.77,urban-industrial,,38,PCA,"Sanchez184,185",2010,2005/6,year,,24.0,,74.0,,2.0
Bailen," 17,593 ",Spain,ESP,Southwestern Europe,EU,38.10,-3.77,urban-industrial,61,,PCA,"Sanchez184,185",2010,2005/6,year,,44.0,,50.0,,6.0
Huelva," 1,48,568 ",Spain,ESP,Southwestern Europe,EU,37.26,-6.95,urban,,37,APCS,"Sanchez184,185",2007,2000/1,year,7.0,24.0,35.0,,,34.0
Paterna," 3,611 ",Spain,ESP,Southwestern Europe,EU,37.42,-6.40,rural,29,,APCS,"Sanchez184,185",2007,2000/1,year,4.7,39.3,,18.6,,37.4
Trigueros," 7,477 ",Spain,ESP,Southwestern Europe,EU,37.38,-6.83,rural,33,,APCS,"Sanchez184,185",2007,2000/1,year,4.5,47.0,,17.7,,30.8
Sant Vincent," 1,78,475 ",Spain,ESP,Southwestern Europe,EU,38.39,-0.53,urban-industrial,38,,PMF,Santacatalina186,2010,2005/8,year,6.0,32.0,23.0,13.5,,25.5
Agost," 4,766 ",Spain,ESP,Southwestern Europe,EU,38.44,-0.64,urban-industrial,41,,PMF,Santacatalina186,2010,2005/8,year,6.0,37.0,15.0,13.5,,28.5
Albacete," 1,72,472 ",Spain,ESP,Southwestern Europe,EU,39.00,-1.86,urban,,14,APCS,Viana191–194,2007,2000/1,year,3.0,31.0,39.0,,,27.0
Huelva," 1,48,568 ",Spain,ESP,Southwestern Europe,EU,37.26,-6.95,urban,,18,APCS,Viana191–194,2007,2000/1,year,4.9,51.2,,22.0,,21.9
Oviedo," 2,25,973 ",Spain,ESP,Southwestern Europe,EU,43.36,-5.84,urban,,18,APCS,Viana191–194,2007,2000/1,year,4.0,24.0,41.0,,,31.0
Galdakao," 29,130 ",Spain,ESP,Southwestern Europe,EU,43.23,-2.85,rural,,18,APCS,Viana191–194,2007,2000/1,year,3.0,13.0,44.0,,,40.0
Barcelona," 16,20,000 ",Spain,ESP,Southwestern Europe,EU,41.39,2.17,urban,,23,APCS,Viana191–194,2007,2000/1,year,5.0,20.0,53.0,,,22.0
Alcora Castello," 10,821 ",Spain,ESP,Southwestern Europe,EU,39.99,-0.04,urban-industrial,34,,CMB,Viana191–194,2008,2002/5,year,,18.0,14.7,17.0,,50.3
Alcora Castello," 10,821 ",Spain,ESP,Southwestern Europe,EU,39.99,-0.04,urban-industrial,34,,APCS,Viana191–194,2008,2002/5,year,,31.0,10.0,17.0,,42.0
Alcora Castello," 10,821 ",Spain,ESP,Southwestern Europe,EU,39.99,-0.04,urban-industrial,34,,PMF,Viana191–194,2008,2002/5,year,3.0,53.0,13.0,6.0,,25.0
Melilla," 73,460 ",Spain,ESP,Southwestern Europe,EU,35.29,-2.94,urban,40,,PMF,Viana191–194,2009,2007/8,year,15.0,31.0,28.0,2.0,,24.0
Atazar, 98 ,Spain,ESP,Southwestern Europe,EU,40.93,-3.47,urban,41,,PMF,Viana191–194,2010,2007,year,7.0,31.0,35.0,9.0,,18.0
Alsasua," 7,691 ",Spain,ESP,Southwestern Europe,EU,42.90,-2.17,urban,30,,PMF,Zabalza203,2006,2002/3,year,12.0,35.0,12.0,3.0,,38.0
Pamplona," 1,97,000 ",Spain,ESP,Southwestern Europe,EU,42.82,-1.64,urban,26,,PMF,Aldabe208,2011,2009,year,8.0,31.2,15.3,,,45.5
Pamplona," 1,97,000 ",Spain,ESP,Southwestern Europe,EU,42.82,-1.64,urban,,15,PMF,Aldabe208,2011,2009,year,2.5,8.4,7.5,,,81.6
Pamplona," 1,97,000 ",Spain,ESP,Southwestern Europe,EU,42.82,-1.64,urban,28,,PMF,Aldabe208,2011,2009,year,7.0,38.5,15.7,,,38.8
Pamplona," 1,97,000 ",Spain,ESP,Southwestern Europe,EU,42.82,-1.64,urban,,17,PMF,Aldabe208,2011,2009,year,2.8,9.1,8.4,,,79.8
Bertiz, 628 ,Spain,ESP,Southwestern Europe,EU,43.14,-1.61,rural,15,,PMF,Aldabe208,2011,2009,year,16.8,35.7,,,,47.5
Izana," 28,900 ",Spain,ESP,Southwestern Europe,EU,28.31,-16.50,remote,29,,PMF,Rodriguez211,2011,2002/2008,year,,75.0,,8.0,,17.0
San Vicente del Reaspeig," 55,100 ",Spain,ESP,Southwestern Europe,EU,38.42,-0.52,urban,41,,PMF,Yubero213,2011,2005/2006,year,16.6,33.5,19.5,8.6,,21.8
Ahvaz," 11,12,000 ",Iran,IRN,Middle East,ME,31.32,48.67,urban,372,,PMF,Sowlat55,2013,2010/2011,year,8.0,41.5,17.0,19.0,5.0,9.5
Kuwait City," 32,403 ",Kuwait,KWT,Middle East,ME,29.37,47.98,urban,,50,PMF,Alolayan53,2013,2004/2005,year,,54.0,16.0,30.0,,0.0
Jeddah City," 28,01,000 ",Saudi Arabia,SAU,Middle East,ME,21.55,39.17,urban,,28,FA,Khodeir54,2012,2011,summer,,51.0,8.4,23.0,,17.6
Jeddah City," 28,01,000 ",Saudi Arabia,SAU,Middle East,ME,21.55,39.17,urban,87,,FA,Khodeir54,2012,2011,summer,9.0,39.1,,31.0,,20.9
Antalya," 10,00,031 ",Turkey,TUR,Turkey,ME,36.88,30.71,rural,11,,PMF,Dogan81,2008,1992/3,year,7.3,49.6,,9.9,,33.2
Erdemli," 50,000 ",Turkey,TUR,Turkey,ME,36.61,34.32,urban,38,,FA,"Koçak82,83",2009,2001/2,year,33.0,28.0,,10.0,,29.0
Erdemli," 50,000 ",Turkey,TUR,Turkey,ME,36.61,34.32,urban,38,,PMF,"Koçak82,83",2009,2001/2,year,32.0,31.0,,7.0,,30.0
Izmir," 40,05,000 ",Turkey,TUR,Turkey,ME,38.42,27.13,suburban,,24,PMF,"Yatkin84,85",2008,2004/5,year,4.0,9.0,12.0,37.0,,38.0
Izmir," 40,05,000 ",Turkey,TUR,Turkey,ME,38.42,27.13,urban,,64,PMF,"Yatkin84,85",2008,2004/5,year,14.0,1.0,15.0,22.0,,48.0
Izmir," 40,05,000 ",Turkey,TUR,Turkey,ME,38.42,27.13,suburban,47,,PMF,"Yatkin84,85",2008,2004/5,year,3.0,11.6,16.4,30.0,,39.0
Halifax," 3,72,659 ",Canada,CAN,Canada,NA,44.65,-63.57,urban,,8,PMF,"Heon-Jeong6,7",2011,2006/2008,year,18.3,3.8,14.2,17.1,,46.6
Edmonton," 7,30,732 ",Canada,CAN,Canada,NA,53.49,-113.47,urban,,10,PMF,"Heon-Jeong6,7",2011,2006/2008,year,2.5,,19.4,7.5,12.0,58.6
Montreal," 16,21,000 ",Canada,CAN,Canada,NA,45.52,-73.56,urban,,12,PMF,"Heon-Jeong6,7",2011,2003/2007,year,4.4,3.8,17.8,5.5,6.4,62.1
Toronto," 25,03,000 ",Canada,CAN,Canada,NA,43.66,-79.40,urban-traffic,,12,PMF,"Heon-Jeong6,7",2011,2004/2007,year,1.8,1.9,13.6,6.2,1.1,75.4
Windsor," 2,16,463 ",Canada,CAN,Canada,NA,42.29,-83.07,urban,,15,PMF,"Heon-Jeong6,7",2011,2004/2008,year,2.3,5.3,13.9,11.3,,67.2
British Columbia," 46,10,000 ",Canada,CAN,Canada,NA,53.76,-127.56,rural,,12,PMF,"Heon-Jeong6,7",2008,2004/2006,year,1.0,8.0,13.0,13.0,56.0,9.0
Toronto," 25,03,000 ",Canada,CAN,Canada,NA,43.65,-79.38,urban,,13,PMF,Lee8,2003,2000/2001,year,8.0,,10.0,20.1,,61.9
Colima," 6,50,055 ",Mexico,MEX,Mexico,NA,19.21,-103.80,rural,48,,APCS,Campos-Ramos49,2011,2006/2007,year,,49.0,17.0,24.0,,10.0
Tijuana," 13,01,000 ",Mexico,MEX,Mexico,NA,32.50,-116.94,urban,,19,PMF,Minguillon50,2014,2010,summer,15.6,,13.9,2.2,38.2,30.2
Mexico City," 88,51,000 ",Mexico,MEX,Mexico,NA,19.88,-99.15,indu-residential,,50,CMB,Mugica51,2009,2006,spring,,26.6,42.0,10.0,,21.4
Salamanca," 1,52,048 ",Mexico,MEX,Mexico,NA,20.58,-101.20,urban,,45,PMF,Murillo52,2012,2006/2007,year,,16.3,12.9,18.3,,52.6
Washington," 6,32,000 ",USA,USA,USA,NA,38.88,-77.03,urban,,17,ME,Begum86,2005,1999/2001,year,3.0,1.6,22.5,57.0,,16.0
Baltimore-Wash," 6,21,000 ",USA,USA,USA,NA,39.10,-76.74,suburban,,13,UNMIX,"Chen87,88",2002,1999-2001,year,,,13.8,1.5,12.3,72.4
San Joaquin Valley," 7,04,000 ",USA,USA,USA,NA,34.08,-117.87,rural,,41,PMF,"Chen87,88",2007,2000/2001,year,,5.0,10.0,9.0,23.0,53.0
San Joaquin Valley," 7,04,000 ",USA,USA,USA,NA,34.08,-117.87,rural,,41,UNMIX,"Chen87,88",2007,2000/2001,year,,3.0,15.0,,24.0,58.0
Bayland Park," 73,238 ",USA,USA,USA,NA,29.70,-95.50,urban,,9,PMF,Chiou89–91,2008,2003/2005,year,4.3,2.2,6.8,19.2,3.2,64.3
Orange," 18,643 ",USA,USA,USA,NA,30.19,-93.87,urban,,11,PMF,Chiou89–91,2008,2003/2005,year,5.1,3.0,6.8,15.7,11.1,58.3
McDonald Observator," 1,201 ",USA,USA,USA,NA,30.67,-104.02,remote,,3,PMF,Chiou89–91,2009,2003/2005,year,,,10.6,14.5,,74.9
Big Bend Park, < 50 ,USA,USA,USA,NA,29.20,-103.27,remote,,5,PMF,Chiou89–91,2009,2003/2006,year,,2.7,14.2,6.4,,76.7
Bounday Waters, < 50 ,USA,USA,USA,NA,47.95,-91.50,remote,,5,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,0.6,3.7,40.7,2.5,1.3,51.3
Acadia Natl Pk, < 50 ,USA,USA,USA,NA,44.38,-68.26,remote,,8,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,5.3,1.3,52.0,5.3,4.0,32.1
Lye Brook, < 50 ,USA,USA,USA,NA,43.15,-73.13,remote,,8,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,1.3,6.5,5.2,9.2,31.5,46.3
Brigantine," 9,420 ",USA,USA,USA,NA,39.47,-74.45,rural,,12,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,6.0,0.9,30.2,13.8,,49.2
Shenandoah," 2,373 ",USA,USA,USA,NA,38.52,-78.43,remote,,12,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,2.5,1.7,27.0,,29.7,39.1
Dolly Sods, < 50 ,USA,USA,USA,NA,39.11,-79.43,remote,,13,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,9.4,6.2,35.4,3.1,5.5,40.4
Great Smoky Mount, < 50 ,USA,USA,USA,NA,35.63,-83.64,remote,,13,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,1.5,4.4,49.2,3.7,5.2,36.0
Jeff James River, < 50 ,USA,USA,USA,NA,37.67,-79.43,remote,,15,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,,3.4,25.0,8.2,15.0,48.4
Mammoth Cave, < 50 ,USA,USA,USA,NA,37.13,-86.15,remote,,16,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,1.9,5.0,38.1,5.0,18.8,31.3
Washington DC," 6,32,000 ",USA,USA,USA,NA,38.88,-77.03,urban,,18,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,1.7,2.2,36.9,10.0,1.7,47.6
Bondville, 443 ,USA,USA,USA,NA,40.05,-88.37,remote,,19,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,,0.5,1.6,0.5,4.3,93.1
Connecticut Hill, 100 ,USA,USA,USA,NA,42.40,-76.65,remote,,19,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,,,7.9,,,92.1
M.K.Goddard, 100 ,USA,USA,USA,NA,41.43,-84.14,remote,,20,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,,42.6,21.5,3.6,2.0,30.4
Livonia, 128 ,USA,USA,USA,NA,38.53,-86.26,rural,,20,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,,38.8,19.4,10.4,,31.4
Quaker City, 502 ,USA,USA,USA,NA,39.94,-81.34,rural,,21,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,,42.9,9.8,,,47.4
Arendtsville, 941 ,USA,USA,USA,NA,39.92,-77.31,urban,,23,PMF-UNMIX,"Coutant92,93",2002,1998/2000,year,,,8.9,,,91.1
Houston," 21,60,000 ",USA,USA,USA,NA,29.90,-95.33,urban,,14,PMF-UNMIX,"Coutant92,93",2003,2001/2002,year,2.0,5.6,43.6,6.3,,42.4
Milwaukee," 5,98,000 ",USA,USA,USA,NA,43.06,-87.91,urban,,15,PMF-UNMIX,"Coutant92,93",2003,2001/2002,year,,2.1,17.2,18.6,,62.1
Bronks," 13,85,000 ",USA,USA,USA,NA,40.86,-73.88,urban,,16,PMF-UNMIX,"Coutant92,93",2003,2001/2002,year,1.9,6.2,15.5,18.6,,57.8
