Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,66.73,NA,10.94,21.43,13.40,NA,7.17,1.14,13.53,0.00,0.06,0.06,NA,NA,NA,22.79,61.72,1.19,67.65,NA,NA,91.70,712.32,0.51
2025-01-02 00:00:00,55.66,NA,10.89,21.34,13.35,NA,6.99,1.17,13.47,0.00,0.05,0.06,NA,NA,NA,22.28,53.74,1.21,66.48,NA,NA,102.66,712.08,0.49
2025-01-03 00:00:00,45.34,NA,10.92,21.40,13.38,NA,7.02,0.93,13.49,0.00,0.06,0.07,NA,NA,NA,22.45,45.49,1.15,54.50,NA,NA,109.15,712.21,0.47
2025-01-04 00:00:00,46.99,NA,10.75,21.14,13.25,NA,6.68,0.99,13.24,0.00,0.08,0.08,NA,NA,NA,22.43,49.23,1.01,60.88,NA,NA,119.18,711.27,0.63
2025-01-05 00:00:00,47.82,NA,11.03,21.56,13.47,NA,7.19,1.06,13.63,0.00,0.05,0.05,NA,NA,NA,22.53,57.37,0.77,114.63,NA,NA,116.59,711.30,0.61
2025-01-06 00:00:00,49.41,NA,11.10,21.67,13.53,NA,7.42,1.18,13.70,0.00,0.04,0.04,NA,NA,NA,22.37,59.47,0.70,102.50,NA,NA,108.49,710.91,0.64
2025-01-07 00:00:00,60.31,NA,10.86,21.30,13.33,NA,6.89,1.48,13.39,0.00,0.04,0.04,NA,NA,NA,22.35,56.63,1.20,71.19,NA,NA,103.79,711.14,0.62
2025-01-08 00:00:00,63.09,NA,10.90,21.36,13.36,NA,6.84,1.20,13.42,0.00,0.06,0.06,NA,NA,NA,22.22,52.73,1.12,60.88,NA,NA,106.80,711.25,0.64
2025-01-09 00:00:00,54.19,NA,10.90,21.36,13.36,NA,6.96,0.74,13.44,0.00,0.05,0.05,NA,NA,NA,21.86,52.75,0.89,67.51,NA,NA,107.34,712.06,0.64
2025-01-10 00:00:00,60.38,NA,10.55,20.83,13.08,NA,6.47,0.94,12.85,0.00,0.04,0.04,NA,NA,NA,22.23,58.57,0.86,84.16,NA,NA,98.92,713.67,0.64
2025-01-11 00:00:00,41.52,NA,10.24,20.35,12.82,NA,6.25,0.41,12.43,0.00,0.04,0.04,NA,NA,NA,22.58,62.61,0.90,75.31,NA,NA,98.73,714.47,0.63
2025-01-12 00:00:00,44.78,NA,10.38,20.56,12.94,NA,7.11,0.99,12.72,0.00,0.04,0.04,NA,NA,NA,22.47,64.97,0.85,82.04,NA,NA,80.81,714.35,0.65
2025-01-13 00:00:00,49.37,NA,9.92,19.86,12.57,NA,6.23,2.01,11.98,0.00,0.04,0.04,NA,NA,NA,22.53,64.76,0.71,74.46,NA,NA,91.71,713.47,0.65
