Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,75.62,145.38,13.64,16.29,16.37,13.48,23.09,0.95,27.41,0.71,1.70,0.81,NA,NA,NA,20.93,70.68,0.26,275.87,0.00,0.00,104.79,726.07,-0.10
2025-01-02 00:00:00,62.54,146.77,13.68,16.47,16.37,13.63,21.68,0.96,21.58,0.67,3.01,0.87,NA,NA,NA,20.31,64.29,0.25,274.99,0.00,0.00,112.54,726.51,-0.10
2025-01-03 00:00:00,60.70,144.88,14.67,17.95,17.64,14.85,20.76,1.05,17.53,0.57,2.11,0.74,NA,NA,NA,20.12,59.94,0.25,274.05,0.00,0.00,115.97,727.41,-0.10
2025-01-04 00:00:00,71.64,165.74,15.98,18.88,18.21,15.61,13.06,1.09,20.04,0.67,2.38,0.72,NA,NA,NA,19.52,69.04,0.22,271.17,0.00,0.00,71.61,727.88,-0.10
2025-01-05 00:00:00,67.12,127.62,11.76,12.89,12.94,10.66,10.43,0.74,35.70,0.55,0.72,0.59,NA,NA,NA,20.48,66.37,0.23,273.05,0.00,0.00,114.49,727.23,-0.10
2025-01-06 00:00:00,73.03,131.09,11.41,12.57,12.63,10.40,9.61,0.72,37.42,1.16,0.58,0.69,NA,NA,NA,20.48,68.08,0.22,294.30,0.00,0.00,113.02,727.22,-0.10
2025-01-07 00:00:00,75.41,142.78,10.69,11.25,11.31,9.32,12.21,0.64,35.11,0.59,0.66,0.86,NA,NA,NA,20.62,66.13,0.25,294.02,0.00,0.00,111.22,727.81,-0.10
2025-01-08 00:00:00,78.99,158.30,12.05,13.46,13.53,11.14,18.12,0.78,37.60,0.67,1.52,0.93,NA,NA,NA,20.30,65.21,0.22,272.93,0.00,0.00,111.02,727.71,-0.10
2025-01-09 00:00:00,80.29,165.16,13.23,13.70,13.39,11.34,16.32,0.75,25.09,0.64,0.70,0.88,NA,NA,NA,19.52,67.14,0.21,272.88,0.00,0.00,53.52,728.64,-0.11
2025-01-10 00:00:00,80.08,156.02,11.71,12.73,12.65,10.54,9.18,0.72,44.30,0.60,0.64,0.52,NA,NA,NA,20.59,66.35,0.24,280.82,0.00,0.00,107.75,727.48,-0.10
2025-01-11 00:00:00,69.77,114.72,10.74,11.11,11.16,9.18,9.21,0.62,47.55,0.73,0.47,0.46,NA,NA,NA,21.01,68.90,0.24,278.47,0.00,0.00,95.35,727.43,-0.10
2025-01-12 00:00:00,73.10,117.76,11.05,11.75,11.80,9.72,9.54,0.67,49.09,0.64,0.53,0.47,NA,NA,NA,21.11,69.38,0.23,279.19,0.00,0.00,97.63,727.54,-0.10
2025-01-13 00:00:00,73.07,125.16,11.93,13.40,13.47,11.09,8.78,0.78,35.45,0.69,0.62,0.47,NA,NA,NA,21.02,69.50,0.23,274.36,0.00,0.00,103.32,727.68,-0.10
2025-01-14 00:00:00,72.70,122.08,12.60,14.09,13.83,11.66,8.49,0.79,28.45,0.65,0.81,0.49,NA,NA,NA,20.88,71.18,0.24,275.90,0.00,0.00,102.12,727.91,-0.10
2025-01-15 00:00:00,53.11,82.74,10.31,10.57,10.62,8.74,9.42,0.59,35.84,0.52,0.42,0.51,NA,NA,NA,21.12,69.87,0.24,274.51,0.00,0.00,94.56,728.02,-0.10
2025-01-16 00:00:00,67.06,109.93,11.22,12.14,12.19,10.04,8.17,0.70,35.95,0.69,0.56,0.58,NA,NA,NA,21.24,70.40,0.22,274.20,0.00,0.00,104.88,727.93,-0.10
2025-01-17 00:00:00,79.00,159.40,11.14,12.15,12.21,10.05,11.75,0.69,34.05,0.70,1.01,0.68,NA,NA,NA,21.10,66.80,0.25,271.96,0.00,0.00,107.01,728.20,-0.10
2025-01-18 00:00:00,79.62,167.47,12.73,14.85,14.92,12.28,10.40,0.88,31.04,0.68,1.07,0.69,NA,NA,NA,20.56,69.99,0.23,272.34,0.00,0.00,103.20,728.71,-0.12
2025-01-19 00:00:00,79.71,162.65,14.01,16.98,17.05,14.04,13.11,1.02,33.68,0.72,1.29,0.74,NA,NA,NA,20.68,66.31,0.23,272.42,0.00,0.00,111.96,728.19,-0.11
2025-01-20 00:00:00,64.54,144.98,13.03,15.28,15.34,12.64,18.46,0.90,20.55,0.79,1.15,0.81,NA,NA,NA,20.69,60.96,0.24,271.44,0.00,0.00,121.78,728.03,-0.12
2025-01-21 00:00:00,63.93,150.21,14.10,17.17,17.25,14.21,12.51,1.04,21.69,0.65,1.14,0.85,NA,NA,NA,20.73,57.06,0.22,275.20,0.00,0.00,122.48,728.32,-0.10
2025-01-22 00:00:00,67.74,141.42,12.19,13.57,13.17,11.24,11.94,0.75,30.78,0.54,0.72,0.90,NA,NA,NA,21.11,57.43,0.24,278.56,0.00,0.00,125.66,728.27,-0.10
2025-01-23 00:00:00,66.13,114.74,11.96,13.42,13.34,11.11,9.81,0.76,36.12,0.57,0.56,0.68,NA,NA,NA,21.55,65.91,0.24,287.01,0.00,0.00,121.12,728.17,-0.11
2025-01-24 00:00:00,52.34,105.88,11.36,12.49,12.55,10.33,9.91,0.73,34.58,0.60,0.55,0.71,NA,NA,NA,21.56,64.32,0.26,292.17,0.00,0.00,119.55,728.11,-0.10
2025-01-25 00:00:00,42.01,100.85,9.78,9.76,9.58,8.07,8.37,0.52,27.72,0.57,0.56,0.76,NA,NA,NA,21.50,61.43,0.22,281.69,0.00,0.00,116.73,727.93,-0.11
2025-01-26 00:00:00,51.68,111.50,11.31,12.45,12.51,10.31,11.07,0.72,27.88,0.56,0.67,0.72,NA,NA,NA,21.15,62.30,0.24,271.26,0.00,0.00,115.97,728.22,-0.11
2025-01-27 00:00:00,60.51,128.73,10.97,11.27,11.05,9.32,12.45,0.76,26.41,0.64,0.67,0.76,NA,NA,NA,21.11,60.94,0.24,273.74,0.00,0.00,94.47,728.67,-0.12
2025-01-28 00:00:00,67.24,131.10,10.73,11.09,11.02,9.18,10.32,0.61,50.38,0.53,0.61,0.60,NA,NA,NA,21.42,63.17,0.22,278.87,0.00,0.00,118.26,728.43,-0.10
2025-01-29 00:00:00,65.58,122.39,10.60,10.57,10.50,8.74,11.93,0.57,46.54,0.53,0.61,0.45,NA,NA,NA,21.54,63.52,0.23,276.27,0.00,0.00,111.80,728.39,-0.10
2025-01-30 00:00:00,74.44,131.97,10.94,11.64,11.70,9.63,9.93,0.66,45.11,0.55,0.68,0.46,NA,NA,NA,21.72,66.00,0.23,281.60,0.00,0.00,118.61,728.89,-0.11
2025-01-31 00:00:00,63.87,133.07,11.28,12.11,12.02,10.02,9.71,0.68,36.06,0.59,0.93,0.62,NA,NA,NA,22.14,62.08,0.24,302.61,0.00,0.00,117.41,728.68,-0.11
2025-02-01 00:00:00,45.86,106.05,10.89,11.54,11.47,9.55,9.26,0.64,28.09,0.51,0.70,0.62,NA,NA,NA,22.52,56.87,0.23,281.09,0.00,0.00,124.48,728.40,-0.10
2025-02-02 00:00:00,43.25,94.87,10.55,10.93,10.98,9.04,10.94,0.61,34.16,0.56,0.64,0.67,NA,NA,NA,22.50,55.72,0.25,276.75,0.00,0.00,123.73,728.18,-0.10
2025-02-03 00:00:00,35.32,90.75,9.49,9.02,9.05,7.46,8.66,0.62,30.83,0.52,0.54,0.63,NA,NA,NA,22.15,57.05,0.26,278.49,0.00,0.00,122.61,729.23,-0.11
2025-02-04 00:00:00,46.61,109.08,11.26,12.14,12.21,10.05,9.06,0.69,33.24,0.49,0.62,0.61,NA,NA,NA,22.48,55.09,0.24,280.17,0.00,0.00,126.33,729.11,-0.11
2025-02-05 00:00:00,47.80,105.10,10.98,11.59,11.51,9.59,10.20,0.63,40.58,0.51,0.55,0.67,NA,NA,NA,22.67,53.62,0.24,290.23,0.00,0.00,113.59,729.25,-0.11
2025-02-06 00:00:00,44.96,92.53,9.50,9.08,9.03,7.52,10.32,0.49,35.11,0.53,0.60,0.64,NA,NA,NA,22.58,54.38,0.27,289.30,0.00,0.00,118.52,729.17,-0.10
2025-02-07 00:00:00,66.30,132.07,11.52,12.84,12.90,10.63,11.31,0.74,36.83,0.57,0.86,0.61,NA,NA,NA,22.22,60.40,0.25,278.33,0.00,0.00,104.13,729.74,-0.10
2025-02-08 00:00:00,66.02,140.29,7.10,12.20,11.28,10.10,13.52,0.76,18.48,0.65,1.08,0.73,NA,NA,NA,21.88,61.56,0.25,271.15,0.00,0.00,48.19,730.87,-0.12
2025-02-09 00:00:00,72.17,143.34,12.06,13.51,13.56,11.17,11.33,0.78,37.09,0.55,1.45,0.56,NA,NA,NA,22.36,59.95,0.30,284.62,0.00,0.00,112.58,729.90,-0.11
2025-02-10 00:00:00,67.74,122.46,10.17,10.33,10.39,8.55,9.72,0.70,38.14,0.56,0.65,0.56,NA,NA,NA,22.43,61.22,0.29,278.94,0.00,0.00,114.23,729.78,-0.11
2025-02-11 00:00:00,73.86,136.87,10.77,11.37,11.30,9.41,11.66,0.63,38.94,0.59,0.80,0.58,NA,NA,NA,22.59,60.36,0.28,294.82,0.00,0.00,115.99,729.76,-0.11
2025-02-12 00:00:00,63.83,138.60,12.35,13.81,13.72,11.43,9.16,0.80,29.96,0.53,0.70,0.59,NA,NA,NA,22.73,57.19,0.27,298.12,0.00,0.00,124.15,729.77,-0.11
2025-02-13 00:00:00,65.62,147.61,13.44,15.98,16.06,13.22,11.31,0.95,27.90,0.55,1.10,0.59,NA,NA,NA,22.19,58.56,0.29,272.73,0.00,0.00,122.38,729.95,-0.11
2025-02-14 00:00:00,64.85,148.66,13.69,16.46,16.54,13.62,15.77,0.98,25.02,0.63,1.34,0.66,NA,NA,NA,21.77,54.71,0.28,278.12,0.00,0.00,126.32,730.57,-0.12
2025-02-15 00:00:00,62.02,148.29,12.91,15.07,15.14,12.46,15.28,0.89,24.10,0.52,1.15,0.75,NA,NA,NA,21.72,53.87,0.31,273.85,0.00,0.00,123.73,730.65,-0.11
2025-02-16 00:00:00,59.65,139.68,12.87,14.81,14.71,12.25,12.12,0.85,21.91,0.52,0.96,0.74,NA,NA,NA,22.17,52.66,0.29,277.63,0.00,0.00,132.59,730.74,-0.12
2025-02-17 00:00:00,49.02,115.62,11.61,12.81,12.88,10.60,10.45,0.74,28.95,0.46,0.57,0.64,NA,NA,NA,22.51,53.72,0.30,292.41,0.00,0.00,122.34,730.64,-0.10
2025-02-18 00:00:00,54.02,112.47,10.35,10.54,10.47,8.72,12.65,0.57,34.80,0.62,0.51,0.69,NA,NA,NA,22.82,58.26,0.28,291.71,0.00,0.00,121.19,730.97,-0.13
2025-02-19 00:00:00,57.92,113.62,10.37,10.92,10.98,9.04,10.86,0.61,41.66,0.65,0.37,0.76,NA,NA,NA,23.18,56.98,0.30,282.88,0.00,0.00,121.84,731.61,-0.15
2025-02-20 00:00:00,65.88,140.00,11.07,12.11,12.18,10.02,12.28,0.70,34.34,0.77,0.45,0.85,NA,NA,NA,23.02,62.60,0.31,278.00,0.00,0.00,101.75,731.74,-0.15
2025-02-21 00:00:00,56.45,126.45,10.93,11.56,11.62,9.57,11.83,0.67,32.91,0.80,0.43,0.83,NA,NA,NA,23.04,61.84,0.30,277.64,0.00,0.00,112.67,731.87,-0.16
2025-02-22 00:00:00,56.60,140.13,9.65,16.59,16.66,13.72,15.81,1.01,27.82,0.75,0.43,0.78,NA,NA,NA,22.67,59.60,0.32,272.17,0.00,0.00,124.68,732.27,-0.16
2025-02-23 00:00:00,57.49,142.08,12.85,15.14,15.21,12.52,14.38,0.91,29.11,0.77,0.42,0.71,NA,NA,NA,22.58,55.70,0.33,273.55,0.00,0.00,120.32,732.49,-0.18
2025-02-24 00:00:00,42.73,116.51,11.27,11.80,11.04,9.77,11.69,0.61,34.83,0.70,0.38,0.46,NA,NA,NA,22.27,51.88,0.34,288.02,0.00,0.00,119.87,732.57,-0.16
2025-02-25 00:00:00,40.09,103.17,10.20,10.37,10.30,8.58,11.17,0.57,45.05,0.64,0.39,0.54,NA,NA,NA,22.56,53.29,0.35,284.22,0.00,0.00,125.66,732.47,-0.17
2025-02-26 00:00:00,56.07,125.99,13.79,15.03,12.50,12.44,12.94,0.71,41.77,0.68,0.41,0.69,NA,NA,NA,22.64,58.09,0.35,279.30,0.00,0.00,117.25,732.42,-0.16
2025-02-27 00:00:00,57.30,118.56,10.20,10.52,10.45,8.70,14.35,0.58,55.00,0.65,0.38,0.74,NA,NA,NA,22.69,58.58,0.32,281.65,0.00,0.00,122.52,732.37,-0.16
2025-02-28 00:00:00,62.92,127.39,10.20,10.44,10.50,8.64,15.25,0.58,58.47,0.71,0.41,0.80,NA,NA,NA,22.70,58.68,0.32,279.52,0.00,0.00,124.17,732.16,-0.14
2025-03-01 00:00:00,50.54,102.76,10.50,10.66,10.58,8.82,12.77,0.58,50.28,0.50,0.40,0.68,NA,NA,NA,22.85,55.04,0.35,288.29,0.00,0.00,118.94,731.56,-0.13
2025-03-02 00:00:00,38.48,93.54,10.90,11.62,11.55,9.61,13.09,0.65,36.49,0.42,0.52,0.75,NA,NA,NA,22.86,53.32,0.31,291.47,0.00,0.00,125.88,730.87,-0.11
2025-03-03 00:00:00,45.07,119.87,11.34,12.16,12.21,10.05,8.96,0.69,32.19,0.45,0.50,0.72,NA,NA,NA,22.90,51.37,0.34,270.16,0.00,0.00,132.96,731.18,-0.12
2025-03-04 00:00:00,66.12,158.71,14.57,18.10,18.19,14.98,20.80,1.09,34.24,0.62,1.00,0.80,NA,NA,NA,22.82,53.53,0.31,272.86,0.00,0.00,121.83,730.82,-0.13
2025-03-05 00:00:00,65.33,171.61,13.64,16.34,16.42,13.53,19.54,0.97,35.30,0.50,1.12,0.81,NA,NA,NA,22.53,52.32,0.37,269.74,0.00,0.00,134.59,730.98,-0.10
2025-03-06 00:00:00,55.11,137.13,13.63,15.53,13.71,12.85,15.32,0.79,30.81,0.57,0.59,0.74,NA,NA,NA,21.46,50.32,0.34,270.55,0.00,0.00,149.17,731.47,-0.12
2025-03-07 00:00:00,65.13,145.33,14.01,17.21,17.29,14.24,20.57,1.03,31.69,0.65,0.65,0.71,NA,NA,NA,21.78,47.14,0.29,274.04,0.00,0.00,132.23,731.07,-0.10
2025-03-08 00:00:00,64.00,140.91,15.19,18.87,18.95,15.61,14.18,1.14,38.92,0.37,0.54,0.62,NA,NA,NA,22.71,46.41,0.31,273.10,0.00,0.00,140.71,730.77,-0.10
2025-03-09 00:00:00,64.05,133.80,12.43,13.36,13.26,11.05,10.77,0.75,49.18,0.42,0.59,0.67,NA,NA,NA,22.68,55.95,0.34,283.67,0.00,0.00,119.05,730.66,-0.10
2025-03-10 00:00:00,45.18,91.77,4.71,8.10,7.92,6.70,11.16,0.53,49.99,0.35,0.30,0.55,NA,NA,NA,22.71,61.95,0.36,292.82,0.00,0.00,102.10,731.64,-0.13
