Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,27.16,61.40,6.22,9.57,15.73,NA,8.69,0.79,28.49,0.69,0.36,1.35,NA,1.41,0.74,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 00:00:00,30.05,70.28,5.28,8.90,14.16,NA,10.53,0.66,31.60,0.74,0.67,1.47,NA,1.10,0.83,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 00:00:00,28.57,71.31,4.83,8.00,12.82,NA,8.65,0.60,32.16,0.95,0.91,0.96,NA,0.67,1.37,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-04 00:00:00,25.57,77.24,3.54,7.04,10.57,NA,6.55,0.73,36.74,0.76,1.13,1.08,NA,0.73,1.02,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 00:00:00,24.88,73.25,3.15,7.49,10.64,NA,9.39,0.67,32.51,0.37,1.41,1.19,NA,1.24,0.56,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 00:00:00,26.19,59.32,5.54,9.03,14.59,NA,11.91,0.58,26.80,0.63,1.27,0.85,NA,1.06,1.07,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-07 00:00:00,30.71,68.36,4.96,8.24,13.17,NA,5.13,0.59,19.98,1.07,0.91,1.15,NA,1.06,0.93,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-08 00:00:00,29.00,60.07,4.63,8.07,12.70,NA,8.51,0.65,22.71,0.94,0.92,0.72,NA,1.14,1.19,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-09 00:00:00,27.57,65.74,5.36,9.18,15.12,NA,11.75,0.62,25.94,0.93,1.13,0.89,NA,0.87,1.10,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-10 00:00:00,24.97,61.24,5.36,9.57,15.94,NA,7.16,0.70,15.18,0.89,0.76,1.27,NA,1.09,0.73,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-11 00:00:00,23.28,62.24,5.79,10.85,17.18,NA,11.07,0.67,13.00,0.90,0.63,0.95,NA,1.48,0.84,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-12 00:00:00,25.60,70.52,6.34,12.43,18.78,NA,5.48,0.59,13.15,1.07,0.69,0.79,NA,1.81,0.79,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-13 00:00:00,25.07,60.85,4.24,9.37,13.55,NA,7.62,0.58,31.40,0.77,0.83,0.91,NA,1.36,0.87,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-14 00:00:00,23.75,52.48,2.20,6.38,8.57,NA,11.64,0.63,43.81,0.58,1.17,0.67,NA,0.89,1.25,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-15 00:00:00,23.99,55.80,2.82,7.35,10.15,NA,10.54,0.59,38.28,0.70,1.07,0.77,NA,1.07,1.10,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-16 00:00:00,23.23,63.83,4.45,9.40,13.85,NA,9.31,0.55,22.79,0.87,0.91,0.82,NA,1.28,0.79,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-17 00:00:00,25.01,62.39,5.41,9.90,15.41,NA,11.75,0.63,28.39,0.88,0.93,1.11,NA,0.58,0.90,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-18 00:00:00,24.79,54.43,5.09,10.24,15.34,NA,5.50,0.67,17.64,0.95,0.98,1.26,NA,1.05,0.54,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-19 00:00:00,21.08,53.41,3.25,7.06,10.29,NA,5.18,0.50,20.56,0.96,1.16,0.67,NA,1.12,1.04,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-20 00:00:00,22.94,71.73,3.28,5.98,9.28,NA,6.82,0.55,29.79,0.98,1.31,0.95,NA,0.39,1.23,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-21 00:00:00,25.63,66.89,3.18,6.43,9.63,NA,4.13,0.62,19.42,0.91,1.18,0.93,NA,0.60,0.94,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-22 00:00:00,23.10,62.55,6.07,9.19,15.27,NA,9.77,0.68,34.00,0.58,1.16,0.86,NA,0.63,1.18,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-23 00:00:00,23.91,67.73,6.27,8.31,14.21,NA,7.63,0.66,23.50,0.99,0.95,1.29,NA,0.89,0.82,NA,NA,NA,NA,NA,0.00,NA,NA,NA
