Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,35.91,74.66,5.35,10.36,15.76,11.55,7.13,0.80,6.91,0.98,1.63,0.28,NA,0.56,0.41,21.34,75.86,0.35,107.21,0.00,0.00,144.95,NA,NA
2025-01-02 00:00:00,36.98,77.15,2.48,7.20,9.77,8.60,9.01,0.86,4.58,0.99,1.62,0.28,NA,0.56,0.41,17.43,85.62,0.34,152.49,0.00,0.00,170.28,NA,NA
2025-01-03 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-04 00:00:00,49.04,95.55,6.28,9.09,15.35,15.26,5.71,0.65,31.41,0.88,2.16,0.96,NA,0.96,0.72,24.18,43.42,0.41,73.45,0.00,0.00,201.99,NA,NA
2025-01-05 00:00:00,41.47,83.17,4.32,8.35,12.62,13.47,6.52,0.91,29.20,0.89,1.86,0.81,NA,0.81,0.83,20.60,63.31,0.35,103.29,0.00,0.00,180.09,NA,NA
2025-01-06 00:00:00,37.03,78.49,3.84,7.96,11.83,12.99,9.19,0.77,32.10,0.85,1.83,0.80,NA,0.75,0.83,20.62,64.96,0.38,143.44,0.00,0.00,182.01,NA,NA
2025-01-07 00:00:00,40.68,89.27,5.79,8.86,14.68,17.09,9.95,0.64,35.62,0.91,2.05,1.22,NA,0.89,0.79,20.44,69.45,0.36,129.39,0.00,0.00,168.43,NA,NA
2025-01-08 00:00:00,41.17,93.23,6.91,9.99,16.87,15.19,9.64,0.85,35.20,0.91,1.94,1.54,NA,0.80,0.96,19.65,67.38,0.33,132.12,0.00,0.00,163.06,NA,NA
2025-01-09 00:00:00,41.23,85.73,5.79,10.12,15.97,14.07,7.12,0.90,28.36,0.90,2.08,1.31,NA,0.73,1.25,19.52,62.87,0.48,113.15,0.00,0.00,174.43,NA,NA
2025-01-10 00:00:00,34.16,97.96,5.50,10.32,15.78,12.71,6.57,1.00,32.94,0.86,1.81,1.03,NA,0.89,1.23,20.88,66.11,0.60,97.48,0.00,0.00,156.97,NA,NA
2025-01-11 00:00:00,28.76,73.37,5.36,9.69,15.06,13.74,7.80,0.76,39.88,0.82,1.63,1.31,NA,0.92,0.98,22.48,67.58,0.75,104.93,0.00,0.00,157.78,NA,NA
2025-01-12 00:00:00,26.08,68.66,4.22,8.27,12.45,15.17,6.27,0.85,36.05,0.80,1.22,1.53,NA,0.85,1.05,22.62,68.37,0.72,94.63,0.00,0.00,143.45,NA,NA
2025-01-13 00:00:00,27.92,74.73,3.44,7.32,10.81,13.25,5.05,0.90,21.56,1.06,1.16,1.37,NA,0.63,0.91,17.90,92.22,0.29,126.08,0.00,0.00,60.74,NA,NA
2025-01-14 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-15 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-16 00:00:00,35.53,112.52,8.24,14.36,22.53,11.55,10.28,0.77,26.46,0.85,1.17,0.94,NA,1.04,1.40,24.89,57.72,0.46,74.12,0.00,0.00,150.43,NA,NA
2025-01-17 00:00:00,34.09,93.36,7.42,12.82,20.22,13.48,8.49,1.11,21.79,0.75,1.02,1.21,NA,0.78,0.97,19.50,87.70,0.31,139.38,0.00,0.00,126.46,NA,NA
2025-01-18 00:00:00,31.84,120.72,4.86,9.22,13.91,15.12,8.48,0.67,40.79,1.30,2.07,2.37,NA,0.91,1.25,23.71,51.55,0.53,68.82,0.00,0.00,195.48,NA,NA
2025-01-19 00:00:00,40.32,99.19,4.19,7.57,11.74,13.58,7.80,0.79,35.88,1.06,1.79,1.92,NA,0.85,0.93,21.24,64.54,0.36,125.19,0.00,0.00,177.66,NA,NA
2025-01-20 00:00:00,40.10,82.93,4.50,6.88,11.41,15.03,6.61,0.71,29.60,0.89,1.77,1.28,NA,0.81,0.92,21.26,58.27,0.35,175.55,0.00,0.00,195.19,NA,NA
2025-01-21 00:00:00,37.81,75.92,6.05,7.84,13.85,14.61,6.50,0.84,26.17,0.86,1.55,0.73,NA,0.74,1.06,21.38,52.00,0.33,128.63,0.00,0.00,187.22,NA,NA
2025-01-22 00:00:00,32.58,74.12,7.07,9.56,16.60,17.29,11.00,0.81,30.04,0.79,1.53,0.72,NA,0.74,0.99,22.18,49.44,0.48,120.55,0.00,0.00,191.00,NA,NA
2025-01-23 00:00:00,38.66,72.06,8.59,8.52,17.10,14.85,9.93,0.61,29.01,0.83,1.63,0.98,NA,0.77,1.15,23.29,62.57,0.59,121.91,0.00,0.00,192.12,NA,NA
2025-01-24 00:00:00,34.28,62.15,8.33,9.26,17.59,12.90,8.70,0.56,33.97,0.83,1.34,1.48,NA,0.78,1.46,23.59,59.85,0.56,118.57,0.00,0.00,193.59,NA,NA
2025-01-25 00:00:00,31.25,54.96,6.73,10.79,17.48,12.29,8.42,0.65,33.61,0.78,1.05,1.61,NA,0.87,1.37,22.90,56.08,0.36,144.39,0.00,0.00,195.07,NA,NA
2025-01-26 00:00:00,32.92,68.08,5.46,9.31,14.83,9.47,5.78,0.83,29.60,1.00,1.29,1.28,NA,0.93,0.75,20.44,69.58,0.39,120.98,0.00,0.00,208.99,NA,NA
2025-01-27 00:00:00,62.88,96.65,6.53,10.23,16.77,15.86,11.00,0.93,41.80,0.89,1.23,2.28,NA,0.89,1.08,29.70,28.28,0.47,112.30,0.00,0.00,335.55,NA,NA
2025-01-28 00:00:00,42.00,74.60,8.14,7.62,15.74,8.93,5.16,0.76,24.76,0.93,1.83,2.07,NA,1.22,1.90,27.64,40.04,0.54,131.06,0.00,0.00,274.30,NA,NA
2025-01-29 00:00:00,38.54,76.27,6.96,9.05,16.02,10.41,7.20,0.79,29.91,1.09,2.24,1.82,NA,1.31,1.60,23.70,56.96,0.54,104.55,0.00,0.00,168.06,NA,NA
2025-01-30 00:00:00,37.31,77.22,6.35,11.43,17.80,14.38,10.48,0.74,37.21,1.08,1.97,1.73,NA,1.59,1.03,23.86,62.70,0.59,124.40,0.00,0.00,179.63,NA,NA
2025-01-31 00:00:00,36.88,69.39,5.81,11.38,17.21,18.31,9.09,0.65,37.84,1.18,1.76,1.43,NA,1.35,1.00,24.69,56.16,0.45,121.48,0.00,0.00,178.43,NA,NA
2025-02-01 00:00:00,38.41,73.42,5.38,10.70,16.13,16.11,8.17,0.70,39.94,1.18,1.72,0.77,NA,0.90,1.11,25.22,50.83,0.54,125.86,0.00,0.00,182.05,NA,NA
2025-02-02 00:00:00,41.29,69.93,4.90,7.99,12.94,13.64,7.51,0.73,36.11,1.08,1.11,1.07,NA,0.70,1.01,25.54,47.49,0.59,110.14,0.00,0.00,190.24,NA,NA
2025-02-03 00:00:00,40.69,67.24,4.44,6.43,10.86,13.65,6.49,0.63,30.28,1.02,0.85,1.51,NA,0.68,0.97,25.32,46.51,0.62,108.77,0.00,0.00,193.50,NA,NA
2025-02-04 00:00:00,33.05,70.15,5.31,7.30,12.64,13.54,4.39,1.02,18.69,0.70,0.89,0.84,NA,0.64,0.42,20.42,63.63,0.43,120.56,0.00,0.00,100.38,NA,NA
2025-02-05 00:00:00,61.38,123.80,6.39,9.63,16.00,18.85,11.79,0.87,40.83,1.06,1.68,1.40,NA,0.96,0.70,29.52,32.59,0.47,89.57,0.00,0.00,235.71,NA,NA
2025-02-06 00:00:00,39.27,75.89,6.38,9.61,15.99,19.50,12.90,0.71,43.36,1.10,1.81,1.45,NA,0.96,0.71,25.56,48.33,0.60,117.87,0.00,0.00,178.68,NA,NA
2025-02-07 00:00:00,37.13,93.94,7.33,9.91,17.15,16.63,10.07,0.86,39.94,0.99,1.57,1.21,NA,0.88,0.60,25.04,55.40,0.42,102.02,0.00,0.00,150.50,NA,NA
2025-02-08 00:00:00,37.54,85.43,6.76,10.00,16.74,13.36,6.83,0.75,33.67,1.05,1.64,1.06,NA,0.80,0.65,25.15,54.25,0.36,103.14,0.00,0.00,152.75,NA,NA
2025-02-09 00:00:00,32.81,92.52,5.15,9.89,15.00,10.26,4.21,1.09,23.57,1.41,2.12,1.41,NA,0.74,0.89,19.65,75.96,0.33,169.59,0.00,0.00,11.20,NA,NA
2025-02-10 00:00:00,45.66,118.97,3.63,7.26,11.92,17.19,10.73,0.90,39.85,1.19,2.05,1.81,NA,1.36,1.66,28.90,38.55,0.56,110.24,0.00,0.00,219.54,NA,NA
2025-02-11 00:00:00,34.08,76.43,4.69,8.47,13.62,15.10,9.43,0.79,37.39,1.06,1.71,1.61,NA,0.95,1.26,26.00,53.46,0.50,134.43,0.00,0.00,169.24,NA,NA
2025-02-12 00:00:00,29.44,71.74,5.95,10.07,15.95,13.63,9.27,0.65,34.80,0.82,1.78,2.11,NA,0.81,1.12,26.00,49.57,0.36,195.71,0.00,0.00,183.97,NA,NA
2025-02-13 00:00:00,32.84,70.31,7.54,11.88,19.40,14.27,7.93,0.76,29.86,0.80,1.92,1.70,NA,0.67,1.42,24.86,49.26,0.43,238.76,0.00,0.00,189.40,NA,NA
2025-02-14 00:00:00,29.48,64.25,7.63,11.56,19.17,11.66,5.70,0.85,23.04,0.80,1.83,1.28,NA,0.68,1.71,22.86,50.78,0.37,190.70,0.00,0.00,164.73,NA,NA
2025-02-15 00:00:00,31.85,66.15,5.75,10.20,16.01,13.16,6.94,1.05,24.14,1.05,2.16,1.30,NA,1.30,1.70,23.06,46.51,0.40,182.77,0.00,0.00,144.03,NA,NA
2025-02-16 00:00:00,30.25,69.22,3.79,8.49,12.28,13.25,9.93,1.16,32.35,1.58,2.05,1.35,NA,1.30,1.19,24.69,38.35,0.33,153.01,0.00,0.00,193.70,NA,NA
2025-02-17 00:00:00,29.79,61.08,3.34,7.69,11.63,12.64,9.45,0.76,30.70,1.31,1.99,1.28,NA,0.92,1.08,25.72,41.15,0.38,139.55,0.00,0.00,183.91,NA,NA
