Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,75.65,158.21,17.88,45.17,34.87,2.59,8.26,1.97,12.53,22.05,17.36,6.25,NA,NA,NA,28.96,79.47,0.78,292.25,0.03,3.00,118.96,731.16,0.00
2025-01-02 00:00:00,66.64,168.56,19.34,46.62,36.53,2.77,6.30,1.17,11.63,3.77,2.98,1.08,NA,NA,NA,28.13,65.96,0.76,251.43,0.00,0.00,133.73,728.78,0.00
2025-01-03 00:00:00,66.27,148.51,21.88,50.21,39.98,2.97,10.26,1.48,12.58,4.96,3.91,1.41,NA,NA,NA,28.46,66.48,0.61,231.81,0.00,0.00,136.65,727.19,0.00
2025-01-04 00:00:00,64.10,152.25,28.22,52.75,45.18,2.86,7.87,1.38,15.45,9.00,7.09,2.55,NA,NA,NA,28.28,70.01,0.58,229.04,0.00,0.00,140.94,723.66,0.00
2025-01-05 00:00:00,67.63,137.41,16.00,41.63,31.85,2.24,6.61,0.96,20.51,10.39,8.19,2.95,NA,NA,NA,28.19,68.30,0.78,219.12,0.00,0.00,139.05,726.32,-0.06
2025-01-06 00:00:00,66.00,119.64,14.96,40.51,30.63,2.66,8.51,0.66,20.88,14.39,11.33,4.07,NA,NA,NA,27.88,70.50,0.78,212.21,0.00,0.00,138.54,727.21,0.00
2025-01-07 00:00:00,72.60,157.20,19.57,45.06,35.84,2.59,6.28,1.47,17.17,4.79,3.78,1.36,NA,NA,NA,28.17,69.57,0.82,238.15,0.00,0.00,132.70,724.85,0.00
2025-01-08 00:00:00,79.44,166.00,17.72,47.18,35.86,2.57,6.66,1.36,16.28,4.46,3.51,1.26,NA,NA,NA,27.94,74.51,0.70,238.41,0.00,0.00,129.14,726.94,0.00
2025-01-09 00:00:00,75.65,163.44,19.46,45.26,35.88,2.66,6.23,1.51,22.95,4.97,3.92,1.41,NA,NA,NA,27.53,75.00,0.87,260.26,0.00,0.00,133.57,727.39,0.00
2025-01-10 00:00:00,78.90,136.00,15.70,41.30,31.50,2.30,4.72,1.03,25.93,7.22,5.69,2.05,NA,NA,NA,28.02,78.81,1.07,240.19,0.00,0.00,126.88,729.06,0.00
2025-01-11 00:00:00,71.11,133.31,13.85,35.60,27.33,1.92,5.22,0.93,27.80,3.12,2.46,0.88,NA,NA,NA,28.54,81.11,1.38,230.27,0.00,0.00,127.06,729.98,0.00
2025-01-12 00:00:00,70.14,121.40,13.84,34.79,26.90,2.05,5.62,0.90,32.90,2.97,2.35,0.84,NA,NA,NA,28.72,80.83,1.55,241.50,0.00,0.00,115.86,728.55,0.00
2025-01-13 00:00:00,73.72,154.25,14.70,39.49,29.93,2.14,5.56,1.11,19.84,3.60,2.84,1.02,NA,NA,NA,28.54,79.76,0.75,245.07,0.00,0.00,118.23,727.92,0.00
2025-01-14 00:00:00,66.23,113.73,18.93,39.61,32.56,2.03,4.51,0.84,18.91,2.81,2.21,0.80,NA,NA,NA,28.71,71.21,1.10,256.62,0.00,0.00,145.31,727.87,0.00
2025-01-15 00:00:00,54.62,100.71,16.77,37.67,30.21,2.22,5.95,1.48,20.65,28.62,22.55,8.11,NA,NA,NA,29.78,79.39,1.07,250.43,0.00,0.00,116.12,735.80,0.00
2025-01-16 00:00:00,69.46,105.73,16.89,39.01,31.00,2.01,4.67,1.86,19.76,6.58,5.18,1.86,NA,NA,NA,29.06,78.79,0.85,244.65,0.04,3.50,122.96,732.05,0.00
2025-01-17 00:00:00,77.99,171.90,18.23,43.17,34.02,2.07,6.23,2.48,15.91,8.91,7.02,2.52,NA,NA,NA,28.95,73.94,1.00,283.90,0.00,0.00,125.43,732.57,0.00
2025-01-18 00:00:00,81.68,150.23,21.83,44.00,36.66,1.66,8.12,2.11,18.56,6.99,5.51,1.98,NA,NA,NA,28.39,78.00,0.77,289.52,0.00,0.00,123.26,730.23,0.00
2025-01-19 00:00:00,77.51,177.02,22.00,47.67,38.71,1.90,9.03,2.18,14.92,17.53,13.81,4.97,NA,NA,NA,27.23,78.58,0.59,159.34,0.00,0.00,154.08,727.98,-0.05
2025-01-20 00:00:00,70.91,168.95,21.53,47.25,38.20,2.49,13.72,1.08,14.25,44.17,34.81,12.52,NA,NA,NA,31.20,57.76,0.97,241.22,0.00,0.00,161.59,728.14,0.00
2025-01-21 00:00:00,58.99,164.32,19.69,44.06,35.38,2.28,7.51,1.97,19.47,12.25,9.65,3.47,NA,NA,NA,29.21,63.17,0.39,225.99,0.00,0.00,143.03,722.99,0.00
2025-01-22 00:00:00,66.95,155.08,19.40,43.99,35.17,2.11,7.15,2.90,25.19,12.50,9.85,3.54,NA,NA,NA,29.21,66.76,0.74,223.56,0.00,0.00,144.73,722.71,-0.00
2025-01-23 00:00:00,63.05,128.88,15.22,36.47,28.63,1.33,7.26,2.47,20.29,8.37,6.59,2.37,NA,NA,NA,29.20,73.57,1.06,225.07,0.00,0.00,141.68,720.03,0.00
2025-01-24 00:00:00,37.98,111.40,15.75,36.25,28.85,1.40,5.47,1.16,20.96,3.98,3.14,1.12,NA,NA,NA,29.62,66.24,1.20,224.39,0.00,0.00,143.30,716.55,0.00
2025-01-25 00:00:00,52.42,102.83,16.82,39.12,31.02,2.00,6.86,2.02,18.55,6.69,5.26,1.89,NA,NA,NA,29.61,58.37,0.69,224.22,0.00,0.00,148.17,717.15,0.00
2025-01-26 00:00:00,NA,113.80,23.94,42.26,37.00,2.42,5.03,1.33,18.02,4.44,3.50,1.26,NA,NA,NA,29.95,66.99,0.75,241.65,0.00,0.00,159.60,716.82,0.00
2025-01-27 00:00:00,59.06,130.14,18.95,41.20,33.41,2.48,10.88,0.86,19.64,6.66,5.25,1.89,NA,NA,NA,32.03,59.04,0.98,240.54,0.00,0.00,201.68,715.91,-0.00
2025-01-28 00:00:00,63.79,124.29,19.84,40.85,33.77,1.96,5.79,1.29,28.47,6.57,5.17,1.86,NA,NA,NA,29.71,71.85,0.68,210.80,0.00,0.00,143.17,716.39,-0.05
2025-01-29 00:00:00,64.57,129.66,16.31,37.92,30.07,1.78,8.65,0.99,29.85,3.24,2.55,0.92,NA,NA,NA,29.61,76.29,0.92,228.51,0.00,0.00,134.15,717.51,-0.00
2025-01-30 00:00:00,68.86,130.86,16.39,36.84,29.55,1.76,5.49,0.87,28.39,2.83,2.23,0.80,NA,NA,NA,29.59,72.93,1.24,210.04,0.00,0.00,144.48,716.57,0.00
2025-01-31 00:00:00,47.00,103.97,17.10,36.82,29.96,1.94,4.76,0.87,22.70,2.89,2.27,0.82,NA,NA,NA,30.40,67.61,0.73,211.76,0.00,0.00,147.15,716.09,-0.00
2025-02-01 00:00:00,46.07,100.18,17.05,37.38,30.23,2.00,6.17,1.43,23.31,4.71,3.71,1.34,NA,NA,NA,30.74,66.83,0.20,209.26,0.00,0.00,147.49,716.93,-0.00
2025-02-02 00:00:00,43.00,93.25,16.14,36.53,29.23,1.95,5.56,0.44,24.70,4.25,3.35,1.20,NA,NA,NA,30.88,62.85,0.20,225.93,0.00,0.00,151.03,716.96,-0.00
2025-02-03 00:00:00,35.92,86.75,17.69,37.05,30.44,2.02,5.38,0.53,27.55,1.87,1.47,0.53,NA,NA,NA,30.85,67.04,0.20,221.05,0.00,0.00,151.12,717.76,-0.02
2025-02-04 00:00:00,46.07,96.89,16.59,36.91,29.70,2.09,7.64,1.08,28.93,3.70,2.91,1.05,NA,NA,NA,31.12,64.47,0.20,208.34,0.00,0.00,152.76,718.02,0.00
