Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,77.46,179.73,28.15,93.58,72.66,15.35,4.27,1.36,18.58,6.67,62.55,3.10,NA,NA,NA,30.56,70.09,0.71,69.69,0.00,0.00,49.32,709.78,-2.69
2025-01-02 00:00:00,68.40,166.35,32.30,88.41,73.29,12.51,5.29,1.03,18.80,4.56,17.07,2.65,NA,NA,NA,30.60,61.47,0.72,45.18,0.00,0.00,40.64,713.10,-2.69
2025-01-03 00:00:00,69.86,169.55,52.41,94.87,91.55,15.04,9.77,1.27,19.30,7.45,42.88,3.73,NA,NA,NA,28.64,60.58,0.62,87.56,0.00,0.00,64.12,713.04,-2.76
2025-01-04 00:00:00,69.35,173.20,42.31,89.21,80.73,17.20,5.80,1.36,22.47,6.76,60.55,2.98,NA,NA,NA,29.27,61.39,0.76,144.02,0.00,0.00,52.42,709.20,-2.69
2025-01-05 00:00:00,71.67,176.61,15.07,77.38,53.42,17.42,3.77,1.11,19.67,4.51,18.89,1.68,NA,NA,NA,30.56,66.56,0.75,123.00,0.00,0.00,61.52,712.38,-2.70
2025-01-06 00:00:00,72.80,157.96,14.45,82.02,54.72,20.52,6.80,1.08,21.75,3.33,11.83,1.16,NA,NA,NA,28.22,66.75,0.70,147.54,0.00,0.00,46.69,715.53,-2.66
2025-01-07 00:00:00,76.02,168.57,13.11,84.58,55.15,21.28,5.76,0.75,21.89,4.10,14.04,1.60,NA,NA,NA,29.40,65.09,0.66,138.29,0.00,0.00,60.76,712.35,-2.85
2025-01-08 00:00:00,79.08,172.07,22.02,89.33,64.62,26.53,5.46,0.43,23.16,5.53,34.75,5.17,NA,NA,NA,28.82,63.21,0.73,130.13,0.00,0.00,36.71,715.85,-2.68
2025-01-09 00:00:00,75.12,173.68,22.64,90.36,65.86,25.09,6.24,0.55,22.87,4.30,20.88,1.64,NA,NA,NA,28.85,64.50,0.83,166.51,0.00,0.00,57.81,719.10,-2.86
2025-01-10 00:00:00,79.54,172.14,14.21,98.25,63.82,21.74,3.90,0.34,19.85,3.64,9.75,1.10,NA,NA,NA,31.15,63.90,0.98,96.25,0.00,0.00,34.85,713.26,-2.88
2025-01-11 00:00:00,68.76,157.37,10.88,100.83,62.38,19.28,4.36,0.38,20.59,2.99,6.27,0.83,NA,NA,NA,29.84,67.59,1.02,120.17,0.00,0.00,47.16,710.54,-2.77
2025-01-12 00:00:00,69.82,157.65,10.54,102.52,63.10,17.24,4.33,0.37,19.42,3.35,8.33,1.15,NA,NA,NA,30.22,70.57,1.00,100.81,0.00,0.00,31.33,716.91,-2.70
2025-01-13 00:00:00,72.79,165.01,17.61,98.28,66.59,16.38,3.79,0.33,18.96,3.55,8.20,1.08,NA,NA,NA,30.73,70.68,0.90,91.09,0.00,0.00,32.90,715.89,-2.94
2025-01-14 00:00:00,70.56,158.11,14.08,99.66,64.45,16.22,6.38,0.56,19.09,3.87,12.25,1.40,NA,NA,NA,30.60,68.02,0.96,96.54,0.00,0.00,40.97,716.29,-2.78
2025-01-15 00:00:00,50.50,125.26,12.28,97.76,61.99,14.49,4.90,0.42,19.38,2.67,6.58,0.87,NA,NA,NA,30.62,69.83,1.03,105.98,0.00,0.00,41.03,710.88,-2.78
2025-01-16 00:00:00,66.15,142.36,12.29,100.63,63.41,17.65,4.82,0.41,20.53,3.09,7.97,0.92,NA,NA,NA,28.90,69.44,0.92,100.89,0.00,0.00,50.30,719.80,-2.71
2025-01-17 00:00:00,79.43,175.94,13.88,95.96,62.07,21.95,5.14,0.45,22.18,3.72,13.89,1.27,NA,NA,NA,29.54,68.17,0.84,80.22,0.00,0.00,32.20,710.00,-2.93
